Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,194000.000000,211000.000000,193500.000000,207500.000000,207500.000000,5651695
2021-01-05,207000.000000,213000.000000,205000.000000,209500.000000,209500.000000,3022595
2021-01-06,209500.000000,211500.000000,202500.000000,203000.000000,203000.000000,2848547
2021-01-07,206000.000000,210500.000000,204500.000000,206000.000000,206000.000000,2478337
2021-01-08,240500.000000,257000.000000,225000.000000,246000.000000,246000.000000,19933702
2021-01-11,256500.000000,289000.000000,256000.000000,267500.000000,267500.000000,14433887
2021-01-12,263500.000000,274500.000000,250500.000000,261000.000000,261000.000000,8040182
2021-01-13,259500.000000,265000.000000,250000.000000,259000.000000,259000.000000,5805649
2021-01-14,251000.000000,255500.000000,248500.000000,250500.000000,250500.000000,3389733
2021-01-15,252000.000000,255000.000000,239000.000000,240000.000000,240000.000000,3915078
2021-01-18,237500.000000,246500.000000,234000.000000,241000.000000,241000.000000,3387635
2021-01-19,244000.000000,261500.000000,244000.000000,261500.000000,261500.000000,4976690
2021-01-20,271000.000000,277000.000000,254000.000000,259000.000000,259000.000000,5305494
2021-01-21,264000.000000,266500.000000,259500.000000,264500.000000,264500.000000,2593509
2021-01-22,261000.000000,263000.000000,257000.000000,257000.000000,257000.000000,2093127
2021-01-25,253000.000000,262000.000000,251500.000000,260000.000000,260000.000000,1895263
2021-01-26,260500.000000,260500.000000,250500.000000,251500.000000,251500.000000,1846817
2021-01-27,252000.000000,254500.000000,245000.000000,245500.000000,245500.000000,2190994
2021-01-28,238000.000000,243500.000000,236500.000000,238500.000000,238500.000000,2033262
2021-01-29,242000.000000,242500.000000,227000.000000,229000.000000,229000.000000,2663404
2021-02-01,229000.000000,238500.000000,224500.000000,238500.000000,238500.000000,1798912
2021-02-02,241500.000000,243500.000000,236000.000000,240500.000000,240500.000000,1519973
2021-02-03,245000.000000,252500.000000,242500.000000,245500.000000,245500.000000,2983093
2021-02-04,251500.000000,253000.000000,244000.000000,248500.000000,248500.000000,1907305
2021-02-05,249500.000000,250500.000000,243000.000000,249500.000000,249500.000000,1539977
2021-02-08,238000.000000,240500.000000,228500.000000,234000.000000,234000.000000,3212977
2021-02-09,232500.000000,240500.000000,232500.000000,236500.000000,236500.000000,1391614
2021-02-10,239000.000000,246000.000000,235000.000000,245000.000000,245000.000000,1233628
2021-02-15,247000.000000,249000.000000,243500.000000,247500.000000,247500.000000,916331
2021-02-16,249000.000000,251000.000000,245000.000000,247500.000000,247500.000000,1179084
2021-02-17,248000.000000,248000.000000,242500.000000,243500.000000,243500.000000,871176
2021-02-18,241000.000000,243500.000000,235500.000000,235500.000000,235500.000000,1260023
2021-02-19,236500.000000,242000.000000,235500.000000,242000.000000,242000.000000,1168454
2021-02-22,243000.000000,247500.000000,240000.000000,241500.000000,241500.000000,1157808
2021-02-23,242500.000000,247500.000000,237000.000000,244500.000000,244500.000000,1629578
2021-02-24,246500.000000,249000.000000,235000.000000,235000.000000,235000.000000,2072507
2021-02-25,239000.000000,245000.000000,235000.000000,245000.000000,245000.000000,1562697
2021-02-26,238500.000000,248500.000000,235500.000000,237000.000000,237000.000000,2710962
2021-03-02,244500.000000,249000.000000,237000.000000,239000.000000,239000.000000,2509152
2021-03-03,239000.000000,241500.000000,236500.000000,240000.000000,240000.000000,910872
2021-03-04,236000.000000,238000.000000,232500.000000,235000.000000,235000.000000,1274581
2021-03-05,230500.000000,237000.000000,228500.000000,235000.000000,235000.000000,1153198
2021-03-08,237000.000000,237500.000000,230000.000000,230500.000000,230500.000000,853206
2021-03-09,230500.000000,234000.000000,228000.000000,231500.000000,231500.000000,1254755
2021-03-10,236500.000000,236500.000000,227000.000000,227500.000000,227500.000000,901351
2021-03-11,228000.000000,232000.000000,227500.000000,228500.000000,228500.000000,1154314
2021-03-12,231500.000000,233500.000000,229000.000000,232500.000000,232500.000000,823038
2021-03-15,233000.000000,236000.000000,230000.000000,232000.000000,232000.000000,769672
2021-03-16,233500.000000,235000.000000,232000.000000,234000.000000,234000.000000,633617
2021-03-17,234000.000000,234000.000000,230000.000000,232000.000000,232000.000000,627439
2021-03-18,234500.000000,238000.000000,233500.000000,234000.000000,234000.000000,1005422
2021-03-19,230000.000000,232000.000000,229000.000000,229500.000000,229500.000000,1055587
2021-03-22,230000.000000,231000.000000,227500.000000,229000.000000,229000.000000,739527
2021-03-23,229500.000000,231000.000000,225500.000000,226500.000000,226500.000000,1024811
2021-03-24,225000.000000,225500.000000,220000.000000,221000.000000,221000.000000,1049551
2021-03-25,218500.000000,220500.000000,216000.000000,218000.000000,218000.000000,1087519
2021-03-26,219500.000000,219500.000000,212000.000000,215500.000000,215500.000000,1480861
2021-03-29,215500.000000,217500.000000,211000.000000,215500.000000,215500.000000,1184415
2021-03-30,215500.000000,221000.000000,215000.000000,219500.000000,219500.000000,935840
2021-03-31,221500.000000,222000.000000,218000.000000,218000.000000,218000.000000,750876
2021-04-01,220500.000000,224500.000000,218500.000000,219000.000000,219000.000000,749450
2021-04-02,225500.000000,238500.000000,225000.000000,233500.000000,233500.000000,3648528
2021-04-05,236000.000000,236500.000000,230000.000000,234000.000000,234000.000000,990184
2021-04-06,235000.000000,235000.000000,229500.000000,230000.000000,230000.000000,737694
2021-04-07,228500.000000,232500.000000,226500.000000,230000.000000,230000.000000,708886
2021-04-08,229000.000000,233500.000000,227000.000000,231500.000000,231500.000000,915323
2021-04-09,231500.000000,232000.000000,227000.000000,228500.000000,228500.000000,726250
2021-04-12,228000.000000,229000.000000,225500.000000,226000.000000,226000.000000,659014
2021-04-13,226500.000000,230000.000000,226000.000000,230000.000000,230000.000000,634607
2021-04-14,231000.000000,237000.000000,230500.000000,232500.000000,232500.000000,940909
2021-04-15,232500.000000,232500.000000,229000.000000,230500.000000,230500.000000,555364
2021-04-16,231500.000000,233500.000000,230500.000000,231500.000000,231500.000000,577562
2021-04-19,232000.000000,232500.000000,229000.000000,230000.000000,230000.000000,715867
2021-04-20,230000.000000,231000.000000,228500.000000,229000.000000,229000.000000,722449
2021-04-21,227500.000000,228000.000000,224000.000000,225500.000000,225500.000000,848076
2021-04-22,226500.000000,231000.000000,225500.000000,226000.000000,226000.000000,1025922
2021-04-23,225500.000000,225500.000000,220500.000000,221000.000000,221000.000000,1202196
2021-04-26,221500.000000,222500.000000,220000.000000,221500.000000,221500.000000,653982
2021-04-27,222000.000000,222500.000000,218000.000000,220000.000000,220000.000000,763634
2021-04-28,220000.000000,223500.000000,219500.000000,221500.000000,221500.000000,701452
2021-04-29,221000.000000,221500.000000,217000.000000,217500.000000,217500.000000,1047837
2021-04-30,216000.000000,216500.000000,211000.000000,212000.000000,212000.000000,1168115
2021-05-03,212000.000000,222500.000000,211000.000000,218000.000000,218000.000000,1189242
2021-05-04,220000.000000,224500.000000,217500.000000,223500.000000,223500.000000,953550
2021-05-06,223000.000000,225000.000000,221000.000000,223500.000000,223500.000000,645594
2021-05-07,223500.000000,227000.000000,221000.000000,224000.000000,224000.000000,639489
2021-05-10,226500.000000,230000.000000,225500.000000,229500.000000,229500.000000,1117219
2021-05-11,227000.000000,228500.000000,223500.000000,226500.000000,226500.000000,852825
2021-05-12,226500.000000,233000.000000,223000.000000,227500.000000,227500.000000,1649500
2021-05-13,224000.000000,232000.000000,221500.000000,229500.000000,229500.000000,1593554
2021-05-14,234000.000000,236000.000000,226500.000000,229000.000000,229000.000000,1357407
